GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O94766	B3GAT3	enables	GO:0015020	F	ECO:0000315	IMP	PMID:21763480		9606	MGI		20121109
UniProtKB	O94766	B3GAT3	enables	GO:0015018	F	ECO:0000303	NAS	PMID:10842173		9606	UniProt		20010820
UniProtKB	O95045	UPP2	enables	GO:0004850	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010059	9606	InterPro		20201205
UniProtKB	O95045	UPP2	enables	GO:0016763	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018016	9606	InterPro		20201205
UniProtKB	O95045	UPP2	enables	GO:0004850	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.2.3	9606	UniProt		20201205
UniProtKB	O95045	UPP2	enables	GO:0004850	F	ECO:0000314	IDA	PMID:12849978		9606	UniProt		20040928
UniProtKB	O95045	UPP2	enables	GO:0004850	F	ECO:0000314	IDA	PMID:21855639		9606	UniProt		20200220
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0027508|PANTHER:PTN000652929|UniProtKB:O95271|UniProtKB:Q9H2K2	9606	GO_Central		20170420
UniProtKB	O95271	TNKS	enables	GO:1990404	F	ECO:0000314	IDA	PMID:25043379		9606	UniProt		20181127
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:22864114		9606	UniProt		20120824
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:19759537		9606	UniProt		20110420
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:21478859		9606	UniProt		20110420
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:16076287		9606	UniProt		20170427
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012317|InterPro:IPR028731	9606	InterPro		20201205
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.2.30	9606	UniProt		20201205
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:21270334		9606	MGI		20131120
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000304	TAS	Reactome:R-HSA-3640858		9606	Reactome		20130529
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:11854288		9606	BHF-UCL	has_input(UniProtKB:Q9C0C2)	20161205
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:11854288		9606	BHF-UCL	has_input(UniProtKB:O95271)	20161205
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:11854288		9606	BHF-UCL	has_input(UniProtKB:P54274)	20161205
UniProtKB	O95271	TNKS	enables	GO:0003950	F	ECO:0000314	IDA	PMID:9822378		9606	UniProt		20030424
UniProtKB	O95278	EPM2A	enables	GO:0004373	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WUA5|ensembl:ENSMUSP00000066050	9606	Ensembl		20201205
UniProtKB	O95395	GCNT3	enables	GO:0008109	F	ECO:0000304	TAS	PMID:9988682		9606	PINC		20030904
